"x","y"
0.0552879,38.6448055
0.5902364,40.614003
0.6593085,40.7745388
0.4208019,40.6038335
-0.5038288,39.5588249
0.0223415,38.8221021
-0.4740338,38.698727
-0.4660867,39.550595
-0.484415,38.6962376
-0.6099878,38.7661744
-0.3406151,39.4824236
-0.4334195,39.1983766
-0.4334558,39.198303
-0.4334013,39.1982885
-0.4333642,39.1983649
0.6462279,40.764979
-0.1541931,38.9710909
-0.1538837,38.971008
-0.0574721,39.9545649
-0.0574966,39.9545738
-0.0575223,39.9545851
-0.0575505,39.9545973
-0.3366265,39.4808079
-0.1315887,38.5411877
-0.4594222,38.7117286
-0.462669,38.7105105
-0.4776574,38.7032261
-0.4790847,38.7005269
-0.48231,38.6995097
-0.2046301,38.5347903
-0.2039803,38.5358643
-0.4696087,38.7068644
-0.464487,38.7056157
-0.4644829,38.7056082
-0.4645298,38.7056747
-0.4645679,38.7057025
-0.4646011,38.7057268
-0.4646351,38.7057516
-0.464663,38.7057719
-0.4646866,38.7057892
-1.4369813,39.5259256
-0.3265989,39.5777471
-0.3299412,39.5704059
-0.3277018,39.5742758
-0.519335,39.5729067
-0.6206256,38.2950017
-0.5155288,38.7799004
-0.7364304,37.9288037
-0.7360025,37.9278841
-0.726963,37.9330315
-0.564965,38.1911951
-0.474044,38.693437
-0.4241179,38.4071073
-0.397331,38.4324329
0.0067989,38.8490953
-0.383884,39.4135237
-0.3333086,39.5605957
0.4537564,40.4549885
-0.097151,38.9266626
-0.1755284,38.5362686
0.0048657,38.7420992
0.0860089,38.7983114
-0.1041334,38.6950529
0.0215663,38.8156096
-0.4824577,39.5517872
-0.4824811,39.5517928
-0.2344076,39.1828185
-0.6532799,38.0905711
0.1994194,38.7609196
-0.6571528,38.1175928
-1.1334836,37.9783104
-0.1721728,38.5332202
-0.2499031,38.9348005
-0.1488597,38.847656
-0.1697761,38.9191279
-0.9396319,40.2174281
-0.4879344,39.5527266
-0.4866798,39.5529119
0.1062068,38.6777867
-0.7046622,37.9630718
0.0510074,40.0401395
0.0510328,40.0400997
-0.1246555,39.8982148
-0.2904879,40.293716
-0.2905193,40.2936818
-0.2904711,40.2936561
-0.7362004,37.9256922
-0.4899379,38.6915967
-0.4932559,38.6877026
0.1692497,38.7174846
